title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
Pomoc w dziale księgowości,Olsztyn,14 lutego 2018,415131211,Pełny etat,Umowa o pracę,2 900  -  3 100 zł/mies.,526
Księgowa/Księgowy,Poznań,14 lutego 2018,410108155,Pełny etat,Umowa o pracę,  ,115
Specjalista ds. Finansowych Mielec,Mielec,14 lutego 2018,400849085,Pełny etat,Umowa o pracę,  ,1864
Opiekun Finansowy Siewierz,Siewierz,14 lutego 2018,410051557,Pełny etat,Umowa o pracę,  ,292
Specjalista ds. Sprzedaży PKO BP,Morąg,14 lutego 2018,407218777,Pełny etat,Umowa o pracę,  ,516
Umowa Praca Samodzielna KSIĘGOWA biuro rachunkowe,Warszawa,14 lutego 2018,335459986,Pełny etat,Umowa o pracę,3 500  -  5 500 zł/mies.,1325
Księgowa kadrowa,Wrocław,14 lutego 2018,413235357,Pełny etat,Umowa o pracę,  ,332
Księgowa/Księgowy,Czechowice-Dziedzice,14 lutego 2018,409746551,Pełny etat,Umowa o pracę,  ,722
Doradca Finansowy,Kraków,14 lutego 2018,414933253,Pełny etat,Umowa o pracę,  ,52
Zatrudnię księgową /-ego,Szczecin,14 lutego 2018,415140987,Pełny etat,Umowa o pracę,  ,99
Praca dla osoby na stanowisku księgowej,Częstochowa,14 lutego 2018,365510140,Pełny etat,Inny,2 300  -  2 500 zł/mies.,933
Zatrudnię główną księgową,Pakość,14 lutego 2018,408241081,Pełny etat,Umowa o pracę,5 645  -  5 650 zł/mies.,545
Pomoc księgowa,Częstochowa,14 lutego 2018,415099713,Pełny etat,Umowa o pracę,  ,536
Kierownik Regionalny,Grudziądz,13 lutego 2018,367434156,Pełny etat,Umowa o pracę,  ,2690
Fakturzysta/Fakturzystka - os. Sobieskiego,Poznań,14 lutego 2018,410028933,Pełny etat,Umowa o pracę,  ,293
"Doświadczona Księgowa,JPK, kadry-płace podejmie współpracę - pracę",Katowice,13 lutego 2018,414975257,Niepełny etat,Inny,  ,85
Biuro rachunkowe zatrudni,Września,13 lutego 2018,409069119,Pełny etat,Umowa o pracę,  ,1476
Doradca Klienta Nest Bank,Ruda Śląska,13 lutego 2018,415069471,Pełny etat,Umowa o pracę,  ,97
Samodzielna Księgowa/Samodzielny Księgowy,Warszawa,13 lutego 2018,412929459,Pełny etat,Umowa o pracę,  ,379
Oferta Współpracy Dla Biur Kredytowych Poznań,Poznań,13 lutego 2018,415073923,Pełny etat,Inny,  ,35
Główna Księgowa,Wrocław,13 lutego 2018,415074501,Pełny etat,Umowa o pracę,  ,85
Kadrowo-księgowa,Poznań,13 lutego 2018,412949815,Pełny etat,Umowa o pracę,2 500  -  3 000 zł/mies.,483
Młodsza/y księgowa/y,Warszawa,13 lutego 2018,414292929,Pełny etat,Umowa zlecenie,  ,319
Fakturzystka,Gorzów Wielkopolski,14 lutego 2018,414371875,Pełny etat,Umowa o pracę,  ,261
Praca w biurze ubezpieczeń - Brzeszcze,Brzeszcze,14 lutego 2018,415079603,Pełny etat,Umowa zlecenie,1  -  2 zł/mies.,190
