title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Kalisz Pomorski,14 lutego 2018,407610873,Niepełny etat,Umowa o pracę,  ,40
Zatrudnimy magazyniera Wrocław-okolice. Dobre warunki,Wrocław,14 lutego 2018,415301499,Niepełny etat,Umowa o pracę,  ,349
Praca dorywcza dla studentów BIAŁYSTOK,Białystok,14 lutego 2018,415167383,Dodatkowa / sezonowa,Umowa zlecenie,10  -  14 zł/godz.,360
Sortowanie Paczek - Praca od Zaraz!,Warszawa,14 lutego 2018,339712560,Pełny etat,Umowa zlecenie,  ,103
Sortowanie Listów - Praca od Zaraz! - Warszawa-Kasa Przed Świętami,Ryki,14 lutego 2018,340347318,Pełny etat,Umowa zlecenie,  ,52
Od zaraz! Praca Fizyczna w Magazynie Sortowni,Warszawa,14 lutego 2018,290462625,Pełny etat,Umowa zlecenie,  ,163
Pracownik Magazynu Sortowni,Warszawa,14 lutego 2018,336079200,Pełny etat,Umowa zlecenie,  ,159
Sortowacz Listów i Korespondencji - od Zaraz!,Warszawa,14 lutego 2018,367709762,Pełny etat,Umowa zlecenie,  ,119
MAGAZYNIER 3/4 etatu Warszawa Targówek,Warszawa,14 lutego 2018,413192859,Niepełny etat,Umowa o pracę,  ,1367
Magazynier,Żyrardów,13 lutego 2018,376832673,Pełny etat,Umowa o pracę,  ,1809
Magazynier (magazyn części),Zielona Góra,14 lutego 2018,357258386,Pełny etat,Umowa o pracę,  ,1103
Magazynier,Pułtusk,14 lutego 2018,346866726,Pełny etat,Umowa o pracę,  ,1086
Praca Magazynier wózki widłowe Katowice,Katowice,14 lutego 2018,414907593,Pełny etat,Umowa o pracę,2 500  -  3 500 zł/mies.,233
Magazynier,Ostróda,14 lutego 2018,415273331,Pełny etat,Umowa o pracę,  ,203
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Stargard,14 lutego 2018,407622883,Niepełny etat,Umowa o pracę,  ,16
OPERATOR wózka widłowego (stała praca/umowa o pracę,Grójec,14 lutego 2018,327457216,Pełny etat,Umowa o pracę,3 600  -  4 100 zł/mies.,245
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Gryfino,14 lutego 2018,407625301,Niepełny etat,Umowa o pracę,  ,12
"Amazon, pracownik magazynowy-2 dni pracy w tygodniu",Police,14 lutego 2018,407625267,Niepełny etat,Umowa o pracę,  ,9
"Magazynier/Wózkowy- Gliwice, z mozliwością nadgodzin week/100% PŁATNE",Gliwice,14 lutego 2018,414510997,Pełny etat,Umowa o pracę,  ,472
Magazynier (umowa o pracę) 4000 do 4500,Sochaczew,14 lutego 2018,415278939,Pełny etat,Umowa o pracę,4 000  -  4 500 zł/mies.,264
Magazynier/Kierowca z kat. B,Bydgoszcz,14 lutego 2018,389222387,Pełny etat,Umowa o pracę,  ,2000
Magazynier – Operator wózka widłowego,Piekary Śląskie,14 lutego 2018,387000043,Pełny etat,Umowa o pracę,  ,2263
Magazynier- operator wózka widłowego 22 zł/h,Poznań,14 lutego 2018,415283359,Pełny etat,Umowa o pracę,  ,323
Magazynier,Bydgoszcz,14 lutego 2018,402359107,Pełny etat,Umowa o pracę,  ,1179
Logistyk / Magazynier,Mirków,14 lutego 2018,322443920,Pełny etat,Umowa o pracę,  ,2243
Magazynier-Kierowca,Wrocław,14 lutego 2018,414907167,Pełny etat,Umowa o pracę,  ,319
Magazynier w hurtowni ogrodniczej,Wrocław,14 lutego 2018,366503282,Pełny etat,Umowa o pracę,  ,1104
Magazynier - operator wózka widłowego,Wołomin,14 lutego 2018,415290321,Pełny etat,Umowa o pracę,  ,128
Magazynier Pracownik Produkcji Dąbrowa Górnicza ul. Roździeńskiego,Dąbrowa Górnicza,14 lutego 2018,376083003,Pełny etat,Umowa o pracę,2 500  -  2 600 zł/mies.,3828
Pracownik Działu Przyjęcia Towaru - Magazyn,Długołęka,14 lutego 2018,232262011,Pełny etat,Umowa o pracę,  ,3243
Magazyn firma kurierska,Tarnobrzeg,14 lutego 2018,403452169,Niepełny etat,Umowa zlecenie,12  -  15 zł/godz.,1671
Operator Wózka Widłowego (atrakcyjne warunki zatrudnienia!),Skawina,14 lutego 2018,415295665,Pełny etat,Umowa o pracę,3 000  -  3 500 zł/mies.,163
Magazynier max-fliz,Katowice,14 lutego 2018,319260132,Pełny etat,Umowa o pracę,  ,6894
Magazynier,Łubna,14 lutego 2018,243042141,Pełny etat,Umowa o pracę,  ,2318
Praca magazynowa w firmie zajmującej się sprzedażą internetową,Gorzów Wielkopolski,14 lutego 2018,356932364,Pełny etat,Inny,  ,300
Magazynier,Śrem,14 lutego 2018,415249105,Pełny etat,Umowa o pracę,  ,74
"Amazon, pracownik magazynowy-4 dni pracy w tygodniu",Kalisz Pomorski,14 lutego 2018,403445865,Pełny etat,Umowa o pracę,  ,3
"Amazon, pracownik magazynowy-4 dni pracy w tygodniu",Chociwel,14 lutego 2018,403445857,Pełny etat,Umowa o pracę,  ,3
Magazynier - operator wózka - Tyniec Mały k. Wrocławia,Tyniec Mały,14 lutego 2018,414481119,Pełny etat,Umowa o pracę,  ,138
Wprowadzanie danych do komputera... OD ZARAZ/ wlkp,Poznań,14 lutego 2018,415251841,Pełny etat,Umowa zlecenie,  ,548
