title,city,added,offer_id,working_hours,type_of_contract,salary,number_of_views
Pracownik Obsługi Klienta na stacji paliw PKN ORLEN 7284,Jawor,15 lutego 2018,384579059,Pełny etat,Umowa o pracę,  ,1457
Sprzedawca - Zakłady Mięsne Stanisławów Sp. z o. o.,Warszawa,15 lutego 2018,393871147,Pełny etat,Umowa o pracę,  ,826
Zatrudnię sprzedawcę do salonu meblowego,Bydgoszcz,15 lutego 2018,415240725,Pełny etat,Umowa o pracę,  ,166
Kasjer/sprzedawca - PRZEŹMIEROWO!,Przeźmierowo,15 lutego 2018,415473449,Pełny etat,Umowa zlecenie,  ,19
Doradca Klienta/ Wizażysta na stoisku kosmetycznym PAESE,Kraków,15 lutego 2018,415473227,Pełny etat,Umowa zlecenie,  ,43
"Sprzedawca w JYSK, Warszawa ul.Towarowa (1/2 etatu))",Warszawa,15 lutego 2018,415473617,Niepełny etat,Umowa o pracę,  ,78
TARNÓW przyjmę do pracy sprzedawcę/doradcę klienta PILNE !!!,Tarnów,15 lutego 2018,410060797,Pełny etat,Umowa o pracę,  ,4379
Sprzedawca - biuro,Grudziądz,15 lutego 2018,405498937,Pełny etat,Umowa o pracę,  ,8021
Sprzedawca/ ekspedient w sklepie odzieżowym. Bielsko Biała,Bielsko-Biała,17 stycznia 2018,397679605,Niepełny etat,Umowa o pracę,  ,2008
Doradca Klienta Vistula CH M1 Marki k. Warszawy,Marki,15 lutego 2018,410461033,Pełny etat,Umowa o pracę,  ,111
Doradca Klienta Jubiler SEZAM CH Czyżyny Carrefour - Kraków,Kraków,15 lutego 2018,412280047,Pełny etat,Umowa o pracę,  ,921
Kasjer - Sprzedawca GDAŃSK Osowa,Gdańsk,15 lutego 2018,415475633,Pełny etat,Umowa o pracę,  ,34
Doradca Klienta W.KRUK - CH Sadyba Best Mall - Mokotów - Sprzedawca,Warszawa,15 lutego 2018,410061941,Pełny etat,Umowa o pracę,  ,219
Zatrudnie kasjera sprzedawcę,Otwock,15 lutego 2018,415463611,Pełny etat,Umowa o pracę,  ,56
Sprzedawca Działu Rowery/ Narty w Go Sport! Galeria Sudecka!,Jelenia Góra,15 lutego 2018,333402704,Pełny etat,Umowa o pracę,  ,3005
Sprzedawca w sklepie ogrodniczo-rolniczym,Łęczyca,15 lutego 2018,351767556,Pełny etat,Umowa o pracę,  ,3203
Sprzedawca-Martes Sport Sp. z o.o.,Sanok,15 lutego 2018,415400559,Pełny etat,Umowa o pracę,  ,30
Sprzedawca/ ekspedient w sklepie odzieżowym. Legnica,Legnica,15 lutego 2018,342923948,Niepełny etat,Umowa o pracę,  ,7658
Mydlarnia u Franciszka zatrudni sprzedawców.,Warszawa,15 lutego 2018,406491241,Niepełny etat,Umowa o pracę,  ,508
Doradca Klienta w Salonie Puccini w CH Janki,Janki,15 lutego 2018,302235562,Pełny etat,Umowa o pracę,2 350  -  2 400 zł/mies.,139
Na weekendy przyjmę dziewczynę do pracy w sklepie z odzieżą damską,Warszawa,15 lutego 2018,351018134,Dodatkowa / sezonowa,Inny,  ,2134
DLA STUDENTA:Sprzedawca ekskluzywnych wyr. tytoniowych-Gal. Krakowska,Kraków,15 lutego 2018,410559115,Niepełny etat,Umowa zlecenie,  ,738
